,Rank,Average Temperature ▼,State / Population
7,7.,62.68°F,"Alabama / 4,817,678"
51,51.,32.03°F,"Alaska / 728,300"
4,4.,65.97°F,"Arizona / 6,561,516"
12,12.,60.09°F,"Arkansas / 2,947,036"
10,10.,61.17°F,"California / 38,066,920"
41,41.,46.26°F,"Colorado / 5,197,580"
35,35.,48.60°F,"Connecticut / 3,592,053"
22,22.,54.48°F,"Delaware / 917,060"
18,18.,54.73°F,"District of Columbia / 633,736"
2,2.,71.80°F,"Florida / 19,361,792"
8,8.,62.30°F,"Georgia / 9,907,756"
1,1.,72.95°F,"Hawaii / 1,392,704"
40,40.,46.32°F,"Idaho / 1,599,464"
27,27.,51.37°F,"Illinois / 12,868,747"
26,26.,51.81°F,"Indiana / 6,542,411"
38,38.,48.14°F,"Iowa / 3,078,116"
20,20.,54.68°F,"Kansas / 2,882,946"
16,16.,55.62°F,"Kentucky / 4,383,272"
3,3.,66.74°F,"Louisiana / 4,601,049"
48,48.,43.09°F,"Maine / 1,328,535"
21,21.,54.61°F,"Maryland / 5,887,776"
37,37.,48.14°F,"Massachusetts / 6,657,291"
39,39.,46.64°F,"Michigan / 9,889,024"
49,49.,42.98°F,"Minnesota / 5,383,661"
6,6.,63.50°F,"Mississippi / 2,984,345"
19,19.,54.70°F,"Missouri / 6,028,076"
45,45.,44.18°F,"Montana / 1,006,370"
31,31.,49.88°F,"Nebraska / 1,855,617"
15,15.,57.30°F,"Nevada / 2,761,584"
44,44.,44.49°F,"New Hampshire / 1,321,069"
25,25.,51.93°F,"New Jersey / 8,874,374"
24,24.,53.07°F,"New Mexico / 2,080,085"
36,36.,48.17°F,"New York / 19,594,330"
13,13.,58.70°F,"North Carolina / 9,750,405"
50,50.,40.80°F,"North Dakota / 704,925"
29,29.,50.88°F,"Ohio / 11,560,380"
11,11.,60.14°F,"Oklahoma / 3,818,851"
28,28.,51.27°F,"Oregon / 3,900,343"
32,32.,49.80°F,"Pennsylvania / 12,758,729"
34,34.,49.27°F,"Rhode Island / 1,053,252"
9,9.,61.70°F,"South Carolina / 4,727,273"
42,42.,45.54°F,"South Dakota / 834,708"
14,14.,58.11°F,"Tennessee / 6,451,365"
5,5.,65.97°F,"Texas / 26,092,033"
33,33.,49.55°F,"Utah / 2,858,111"
46,46.,43.74°F,"Vermont / 626,358"
17,17.,55.54°F,"Virginia / 8,185,131"
30,30.,50.47°F,"Washington / 6,899,123"
23,23.,53.08°F,"West Virginia / 1,853,881"
43,43.,44.71°F,"Wisconsin / 5,724,692"
47,47.,43.47°F,"Wyoming / 575,251"
