State,TaxEVIncentiveAmount,TotalRegCount,EVRegistrationCount,gasoline,StatePopulations,MedianIncome
California,"$3,000 ",14268528,903620,5.294,38066920,81575
Washington,"$1,300 ",2977074,104050,5.109,6899123,87648
Hawaii,($50),463874,19760,4.784,1392704,82199
Oregon,"$7,500 ",1357126,46980,4.771,3900343,81855
Alaska,$0 ,141093,1970,4.603,728300,81133
Nevada,$0 ,1051677,32950,4.514,2761584,64340
Arizona,$0 ,2258488,65780,4.332,6561516,70821
Utah,$0 ,990756,28050,4.316,2858111,87649
Idaho,($140),569964,5940,4.159,1599464,76918
Illinois,"$3,900 ",4117589,66880,4.071,12868747,79253
Montana,$0 ,463651,3260,4,1006370,64999
DistrictofColumbia,"$2,000 ",199249,5860,3.972,633736,90640
Colorado,"$3,000 ",1496310,59910,3.97,5197580,84954
Wyoming,($200),186583,840,3.933,575251,71052
NewYork,"$2,000 ",3112030,84670,3.906,19594330,72920
Pennsylvania,"$2,000 ",3917586,47440,3.881,12758729,72627
Maine,"$3,500 ",415725,4990,3.837,1328535,71139
Vermont,"$4,000 ",180025,5260,3.808,626358,76079
Connecticut,"$2,000 ",1119278,22030,3.805,3592053,80958
NewMexico,$0 ,619690,7080,3.785,2080085,53463
Massachusetts,"$2,500 ",1980433,49440,3.759,6657291,86566
SouthDakota,($50),317697,1170,3.752,834708,73893
RhodeIsland,"$2,500 ",338351,4340,3.746,1053252,74982
Michigan,($100),2894828,33150,3.739,9889024,64488
NorthDakota,$0 ,212292,640,3.728,704925,68882
NewHampshire,$0 ,458141,6990,3.717,1321069,88841
Florida,$0 ,7853979,167990,3.701,19361792,59734
Maryland,"$3,000 ",2076393,46060,3.693,5887776,97332
Indiana,($150),2064554,17710,3.689,6542411,70190
NewJersey,"$4,000 ",2535248,87030,3.669,8874374,88559
WestVirginia,($200),359430,1870,3.654,1853881,46836
Minnesota,$0 ,1729997,24330,3.644,5383661,80441
Delaware,"$2,500 ",177980,5390,3.622,917060,68687
Virginia,($117),2978391,56610,3.615,8185131,80268
Ohio,$0 ,4086521,34060,3.61,11560380,62689
Georgia,($320),3525145,60120,3.603,9907756,61497
Iowa,($130),1129061,6220,3.597,3078116,72429
Wisconsin,($100),1825450,15700,3.597,5724692,69943
Nebraska,($75),604900,4570,3.593,1855617,78109
Kansas,($100),856989,7550,3.568,2882946,75979
NorthCarolina,$0 ,3280487,45590,3.542,9750405,62891
Oklahoma,$0 ,1056367,16290,3.518,3818851,60096
Kentucky,($120),1567435,7560,3.499,4383272,55629
Missouri,$0 ,1916497,17870,3.495,6028076,63594
SouthCarolina,($120),1919529,13490,3.483,4727273,62542
Tennessee,$0 ,2346547,22040,3.447,6451365,62166
Alabama,($200),2059139,8730,3.419,4817678,56929
Texas,"$2,500 ",7784067,149000,3.417,26092033,67404
Arkansas,($200),958639,5140,3.414,2947036,50784
Louisiana,($100),1279501,5880,3.388,4601049,57206
Mississippi,($150),893598,2420,3.305,2984345,46637
